 模拟数据,实测数据
             1
   2.105000     ,   8.500000    
   5.223000     ,   9.000000    
   6.514000     ,   9.100000    
   7.979000     ,   9.200000    
   11.62900     ,   9.300000    
   9.318000     ,   9.400000    
   7.832000     ,   9.500000    
   11.48700     ,   9.600000    
   12.40700     ,   9.700000    
   14.37800     ,   9.800000    
   15.91400     ,   9.900000    
   20.46700     ,   10.00000    
   26.70500     ,   10.20000    
   31.77100     ,   13.20000    
   37.82500     ,   16.10000    
   46.92500     ,   19.10000    
   56.64400     ,   22.00000    
   74.81700     ,   24.90000    
   83.40200     ,   27.80000    
   84.95300     ,   30.70000    
   85.81000     ,   33.60000    
   97.82400     ,   36.50000    
   111.9760     ,   39.70000    
   111.1800     ,   86.40000    
   120.9330     ,   117.0000    
   120.8480     ,   107.0000    
   117.2970     ,   105.9000    
   114.7060     ,   103.6000    
   110.8330     ,   102.5000    
   106.2100     ,   100.3000    
   102.4510     ,   97.10000    
   95.15100     ,   94.10000    
   87.98500     ,   90.80000    
   80.96500     ,   86.80000    
   74.45800     ,   82.50000    
   71.48400     ,   77.50000    
   70.69000     ,   72.20000    
   67.20200     ,   66.30000    
   63.22800     ,   65.80000    
   59.01800     ,   64.40000    
   54.89900     ,   63.00000    
   51.23800     ,   61.40000    
   48.01000     ,   59.60000    
   45.02800     ,   58.20000    
   42.62200     ,   56.60000    
   40.77200     ,   54.20000    
   38.95700     ,   52.80000    
   36.86500     ,   51.60000    
   34.91200     ,   50.90000    
   33.12100     ,   50.50000    
   31.53200     ,   50.10000    
   30.08500     ,   49.70000    
   28.80400     ,   49.30000    
   27.72900     ,   48.90000    
   26.64600     ,   48.50000    
   25.56800     ,   48.10000    
   24.55400     ,   47.70000    
   23.63100     ,   47.30000    
   22.85700     ,   47.10000    
   22.17600     ,   46.90000    
   21.59900     ,   46.80000    
   21.24700     ,   46.50000    
   20.74300     ,   46.10000    
   20.16100     ,   45.70000    
   19.57200     ,   45.30000    
   19.03600     ,   44.90000    
   18.58200     ,   44.50000    
   18.22200     ,   44.10000    
   17.91200     ,   43.80000    
   17.61800     ,   43.40000    
   17.32000     ,   43.00000    
   17.00300     ,   42.50000    
   16.67800     ,   41.60000    
   16.36000     ,   39.50000    
   16.05700     ,   37.50000    
   15.77000     ,   35.40000    
   15.57500     ,   33.40000    
   15.46100     ,   31.40000    
   15.42900     ,   29.20000    
   15.44000     ,   27.00000    
   15.51000     ,   25.10000    
   15.29800     ,   22.90000    
   15.10100     ,   20.50000    
   14.89000     ,   18.40000    
   14.73700     ,   16.90000    
   14.65700     ,   16.90000    
   14.59300     ,   16.90000    
   14.58500     ,   16.90000    
   14.44400     ,   16.90000    
   14.31000     ,   16.90000    
   14.20300     ,   16.90000    
   14.07800     ,   16.90000    
   13.94700     ,   16.90000    
   13.82700     ,   16.90000    
   13.71700     ,   16.90000    
   13.62200     ,   16.90000    
   13.54000     ,   16.90000    
   13.45900     ,   16.90000    
   13.38200     ,   16.90000    
   13.31100     ,   16.90000    
   13.24800     ,   16.90000    
   13.19300     ,   16.40000    
   13.14300     ,   16.20000    
   13.09900     ,   15.80000    
   13.07000     ,   15.40000    
   13.06000     ,   15.20000    
   13.00800     ,   14.90000    
   12.97200     ,   14.60000    
   12.94600     ,   14.40000    
   12.91000     ,   14.40000    
   12.87500     ,   14.40000    
   12.84700     ,   14.40000    
   12.82100     ,   14.40000    
   12.79900     ,   14.40000    
   12.84400     ,   14.40000    
   12.88700     ,   14.40000    
   12.87200     ,   14.40000    
   12.85500     ,   14.40000    
   12.84300     ,   14.40000    
   12.82300     ,   14.40000    
   12.80500     ,   14.40000    
   12.78800     ,   14.20000    
   12.76700     ,   13.80000    
   12.74800     ,   13.40000    
   12.73400     ,   13.20000    
   12.72700     ,   12.80000    
   12.73100     ,   12.50000    
   12.74100     ,   12.30000    
   12.74900     ,   11.80000    
   12.75100     ,   11.50000    
   12.74700     ,   11.20000    
   12.73500     ,   10.50000    
   12.71700     ,   10.20000    
   12.69400     ,   10.20000    

             2
   2.105000     ,   8.500000    
   5.223000     ,   9.000000    
   6.514000     ,   9.100000    
   7.979000     ,   9.200000    
   11.62900     ,   9.300000    
   9.318000     ,   9.400000    
   7.832000     ,   9.500000    
   11.48700     ,   9.600000    
   12.40700     ,   9.700000    
   14.37800     ,   9.800000    
   15.91400     ,   9.900000    
   20.46700     ,   10.00000    
   26.70500     ,   10.20000    
   31.77100     ,   13.20000    
   37.82500     ,   16.10000    
   46.92500     ,   19.10000    
   56.64400     ,   22.00000    
   74.81700     ,   24.90000    
   83.40200     ,   27.80000    
   84.95300     ,   30.70000    
   85.81000     ,   33.60000    
   97.82400     ,   36.50000    
   111.9760     ,   39.70000    
   111.1800     ,   86.40000    
   120.9330     ,   117.0000    
   120.8480     ,   107.0000    
   117.2970     ,   105.9000    
   114.7060     ,   103.6000    
   110.8330     ,   102.5000    
   106.2100     ,   100.3000    
   102.4510     ,   97.10000    
   95.15100     ,   94.10000    
   87.98500     ,   90.80000    
   80.96500     ,   86.80000    
   74.45800     ,   82.50000    
   71.48400     ,   77.50000    
   70.69000     ,   72.20000    
   67.20200     ,   66.30000    
   63.22800     ,   65.80000    
   59.01800     ,   64.40000    
   54.89900     ,   63.00000    
   51.23800     ,   61.40000    
