 年,月,日,时,Gross,Netto,Throughfall,LeafDrainage,Stemflow,StoreInterception
 1995  ,    5  ,   11  ,    1  ,         2.80011  ,         2.06121  ,         1.82003  ,         0.19596  ,         0.04523  ,         0.73893
 1995  ,    5  ,   11  ,    2  ,         0.73004  ,         0.47558  ,         0.47448  ,         0.00083  ,         0.00027  ,         0.25442
 1995  ,    5  ,   11  ,    3  ,         1.66017  ,         1.09186  ,         1.07891  ,         0.00976  ,         0.00320  ,         0.56814
 1995  ,    5  ,   11  ,    4  ,         2.40984  ,         1.71496  ,         1.56639  ,         0.12025  ,         0.02819  ,         0.69522
 1995  ,    5  ,   11  ,    5  ,         2.67993  ,         1.95390  ,         1.74173  ,         0.17221  ,         0.03989  ,         0.72606
 1995  ,    5  ,   11  ,    6  ,         1.22999  ,         0.80566  ,         0.79941  ,         0.00471  ,         0.00154  ,         0.42433
 1995  ,    5  ,   11  ,    7  ,         2.30988  ,         1.62690  ,         1.50131  ,         0.10161  ,         0.02400  ,         0.68300
 1995  ,    5  ,   11  ,    8  ,         2.55977  ,         1.84735  ,         1.66386  ,         0.14885  ,         0.03463  ,         0.71268
 1995  ,    5  ,   11  ,    9  ,        11.74976  ,        10.90879  ,         7.63736  ,         2.64036  ,         0.63177  ,         0.84090
 1995  ,    5  ,   11  ,   10  ,        42.95324  ,        42.10651  ,        27.91530  ,        11.43654  ,         2.75649  ,         0.84195
 1995  ,    5  ,   11  ,   11  ,         3.09003  ,         2.32143  ,         2.00833  ,         0.25463  ,         0.05847  ,         0.76856
 1995  ,    5  ,   11  ,   12  ,         0.65997  ,         0.42959  ,         0.42895  ,         0.00048  ,         0.00016  ,         0.23038
 1995  ,    5  ,   11  ,   13  ,         0.73004  ,         0.47558  ,         0.47448  ,         0.00083  ,         0.00027  ,         0.25442
 1995  ,    5  ,   11  ,   14  ,         4.72023  ,         3.89713  ,         3.06791  ,         0.67205  ,         0.15738  ,         0.82291
 1995  ,    5  ,   11  ,   15  ,         0.04000  ,         0.02600  ,         0.02600  ,         0.00000  ,         0.00000  ,         0.01400
 1995  ,    5  ,   11  ,   16  ,         0.78003  ,         0.50840  ,         0.50693  ,         0.00111  ,         0.00036  ,         0.27156
 1995  ,    5  ,   11  ,   17  ,         0.34000  ,         0.22099  ,         0.22099  ,         0.00000  ,         0.00000  ,         0.11901
 1995  ,    5  ,   11  ,   18  ,         0.34000  ,         0.22099  ,         0.22099  ,         0.00000  ,         0.00000  ,         0.11901
 1995  ,    5  ,   11  ,   19  ,         1.03001  ,         0.67329  ,         0.66948  ,         0.00288  ,         0.00094  ,         0.35671
 1995  ,    5  ,   11  ,   20  ,         0.52000  ,         0.33798  ,         0.33798  ,         0.00000  ,         0.00000  ,         0.18203
 1995  ,    5  ,   11  ,   21  ,         0.87991  ,         0.57425  ,         0.57193  ,         0.00174  ,         0.00057  ,         0.30570
 1995  ,    5  ,   11  ,   22  ,         0.65997  ,         0.42959  ,         0.42895  ,         0.00048  ,         0.00016  ,         0.23038
 1995  ,    5  ,   11  ,   23  ,         0.58002  ,         0.37717  ,         0.37696  ,         0.00015  ,         0.00005  ,         0.20283
 1995  ,    5  ,   11  ,   24  ,         0.24999  ,         0.16248  ,         0.16248  ,         0.00000  ,         0.00000  ,         0.08752
 1995  ,    5  ,   12  ,    1  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,    2  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,    3  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,    4  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,    5  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,    6  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,    7  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,    8  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,    9  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,   10  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,   11  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,   12  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,   13  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,   14  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,   15  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,   16  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,   17  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,   18  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,   19  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
