 年,月,日,时,RAINTOT,Total(m3),Saturated(m3),Unsaturated(m3)
 1995  ,    5  ,   11  ,    1  ,          2.06121  ,  109987320.00000  ,   83266440.00000  ,   12319193.00000
 1995  ,    5  ,   11  ,    2  ,          0.47558  ,  110450112.00000  ,   83509728.00000  ,   12318946.00000
 1995  ,    5  ,   11  ,    3  ,          1.09186  ,  112344888.00000  ,   84712472.00000  ,   12319124.00000
 1995  ,    5  ,   11  ,    4  ,          1.71496  ,  115706560.00000  ,   86867600.00000  ,   12319192.00000
 1995  ,    5  ,   11  ,    5  ,          1.95390  ,  119627360.00000  ,   89333776.00000  ,   12319196.00000
 1995  ,    5  ,   11  ,    6  ,          0.80566  ,  120835304.00000  ,   89948512.00000  ,   12319189.00000
 1995  ,    5  ,   11  ,    7  ,          1.62690  ,  123934112.00000  ,   91779072.00000  ,   12319193.00000
 1995  ,    5  ,   11  ,    8  ,          1.84735  ,  127541208.00000  ,   93888280.00000  ,   12319196.00000
 1995  ,    5  ,   11  ,    9  ,         10.90879  ,  152160000.00000  ,  109187952.00000  ,   12319196.00000
 1995  ,    5  ,   11  ,   10  ,         42.10651  ,  248377856.00000  ,  156777136.00000  ,   12319196.00000
 1995  ,    5  ,   11  ,   11  ,          2.32143  ,  253195840.00000  ,  155523328.00000  ,   12319196.00000
 1995  ,    5  ,   11  ,   12  ,          0.42959  ,  253227184.00000  ,  153089552.00000  ,   12318969.00000
 1995  ,    5  ,   11  ,   13  ,          0.47558  ,  252938544.00000  ,  150420848.00000  ,   12279039.00000
 1995  ,    5  ,   11  ,   14  ,          3.89713  ,  259939392.00000  ,  149224368.00000  ,   12285703.00000
 1995  ,    5  ,   11  ,   15  ,          0.02600  ,  257380880.00000  ,  146113152.00000  ,   12193844.00000
 1995  ,    5  ,   11  ,   16  ,          0.50840  ,  253965264.00000  ,  143211664.00000  ,   12101610.00000
 1995  ,    5  ,   11  ,   17  ,          0.22099  ,  249379168.00000  ,  140143680.00000  ,   11984364.00000
 1995  ,    5  ,   11  ,   18  ,          0.22099  ,  244873936.00000  ,  137095248.00000  ,   11867605.00000
 1995  ,    5  ,   11  ,   19  ,          0.67329  ,  240751152.00000  ,  134331488.00000  ,   11838692.00000
 1995  ,    5  ,   11  ,   20  ,          0.33798  ,  235158192.00000  ,  131444448.00000  ,   11768033.00000
 1995  ,    5  ,   11  ,   21  ,          0.57425  ,  230055120.00000  ,  128805904.00000  ,   11766344.00000
 1995  ,    5  ,   11  ,   22  ,          0.42959  ,  224790368.00000  ,  126232280.00000  ,   11747712.00000
 1995  ,    5  ,   11  ,   23  ,          0.37717  ,  219575600.00000  ,  123779976.00000  ,   11726652.00000
 1995  ,    5  ,   11  ,   24  ,          0.16248  ,  214057504.00000  ,  121335048.00000  ,   11647747.00000
 1995  ,    5  ,   12  ,    1  ,          0.00000  ,  208411040.00000  ,  118901192.00000  ,   11518689.00000
 1995  ,    5  ,   12  ,    2  ,          0.00000  ,  203021888.00000  ,  116620024.00000  ,   11390690.00000
 1995  ,    5  ,   12  ,    3  ,          0.00000  ,  197894016.00000  ,  114503336.00000  ,   11268929.00000
 1995  ,    5  ,   12  ,    4  ,          0.00000  ,  192995168.00000  ,  112480792.00000  ,   11150016.00000
 1995  ,    5  ,   12  ,    5  ,          0.00000  ,  188327472.00000  ,  110582024.00000  ,   11035056.00000
 1995  ,    5  ,   12  ,    6  ,          0.00000  ,  183872080.00000  ,  108790248.00000  ,   10925856.00000
 1995  ,    5  ,   12  ,    7  ,          0.00000  ,  179621984.00000  ,  107083096.00000  ,   10820425.00000
 1995  ,    5  ,   12  ,    8  ,          0.00000  ,  175569328.00000  ,  105474232.00000  ,   10718760.00000
 1995  ,    5  ,   12  ,    9  ,          0.00000  ,  171693344.00000  ,  103942448.00000  ,   10621919.00000
 1995  ,    5  ,   12  ,   10  ,          0.00000  ,  168001168.00000  ,  102480080.00000  ,   10528297.00000
 1995  ,    5  ,   12  ,   11  ,          0.00000  ,  164480160.00000  ,  101086728.00000  ,   10438979.00000
 1995  ,    5  ,   12  ,   12  ,          0.00000  ,  161128032.00000  ,   99754328.00000  ,   10354315.00000
 1995  ,    5  ,   12  ,   13  ,          0.00000  ,  157935504.00000  ,   98480464.00000  ,   10273879.00000
 1995  ,    5  ,   12  ,   14  ,          0.00000  ,  154902288.00000  ,   97259272.00000  ,   10198082.00000
 1995  ,    5  ,   12  ,   15  ,          0.00000  ,  152004752.00000  ,   96092920.00000  ,   10126106.00000
 1995  ,    5  ,   12  ,   16  ,          0.00000  ,  149249792.00000  ,   94972864.00000  ,   10056551.00000
 1995  ,    5  ,   12  ,   17  ,          0.00000  ,  146623232.00000  ,   93893176.00000  ,    9990234.00000
 1995  ,    5  ,   12  ,   18  ,          0.00000  ,  144119088.00000  ,   92854784.00000  ,    9926730.00000
 1995  ,    5  ,   12  ,   19  ,          0.00000  ,  141729968.00000  ,   91854888.00000  ,    9865325.00000
 1995  ,    5  ,   12  ,   20  ,          0.00000  ,  139451056.00000  ,   90887576.00000  ,    9806223.00000
 1995  ,    5  ,   12  ,   21  ,          0.00000  ,  137263504.00000  ,   89954928.00000  ,    9749998.00000
 1995  ,    5  ,   12  ,   22  ,          0.00000  ,  135163200.00000  ,   89051544.00000  ,    9695675.00000
 1995  ,    5  ,   12  ,   23  ,          0.00000  ,  133144944.00000  ,   88173104.00000  ,    9643546.00000
 1995  ,    5  ,   12  ,   24  ,          0.00000  ,  131210056.00000  ,   87322928.00000  ,    9592004.00000
 1995  ,    5  ,   13  ,    1  ,          0.00000  ,  129351736.00000  ,   86498296.00000  ,    9542837.00000
 1995  ,    5  ,   13  ,    2  ,          0.00000  ,  127567904.00000  ,   85694984.00000  ,    9494701.00000
 1995  ,    5  ,   13  ,    3  ,          0.00000  ,  125855744.00000  ,   84927728.00000  ,    9447777.00000
 1995  ,    5  ,   13  ,    4  ,          0.00000  ,  124210136.00000  ,   84181640.00000  ,    9403189.00000
 1995  ,    5  ,   13  ,    5  ,          0.00000  ,  122624744.00000  ,   83455728.00000  ,    9360166.00000
 1995  ,    5  ,   13  ,    6  ,          0.00000  ,  121100720.00000  ,   82756416.00000  ,    9318816.00000
 1995  ,    5  ,   13  ,    7  ,          0.00000  ,  119630704.00000  ,   82064736.00000  ,    9277863.00000
 1995  ,    5  ,   13  ,    8  ,          0.00000  ,  118213912.00000  ,   81402856.00000  ,    9238214.00000
 1995  ,    5  ,   13  ,    9  ,          0.00000  ,  116846232.00000  ,   80760456.00000  ,    9199721.00000
 1995  ,    5  ,   13  ,   10  ,          0.00000  ,  115527280.00000  ,   80136912.00000  ,    9162138.00000
 1995  ,    5  ,   13  ,   11  ,          0.00000  ,  114251816.00000  ,   79531944.00000  ,    9125816.00000
 1995  ,    5  ,   13  ,   12  ,          0.00000  ,  113017248.00000  ,   78938432.00000  ,    9090684.00000
 1995  ,    5  ,   13  ,   13  ,          0.00000  ,  111824440.00000  ,   78363648.00000  ,    9056632.00000
 1995  ,    5  ,   13  ,   14  ,          0.00000  ,  110666976.00000  ,   77799608.00000  ,    9023746.00000
 1995  ,    5  ,   13  ,   15  ,          0.00000  ,  109544560.00000  ,   77254808.00000  ,    8992038.00000
 1995  ,    5  ,   13  ,   16  ,          0.00000  ,  108452008.00000  ,   76712032.00000  ,    8961305.00000
 1995  ,    5  ,   13  ,   17  ,          0.00000  ,  107390648.00000  ,   76186088.00000  ,    8930785.00000
 1995  ,    5  ,   13  ,   18  ,          0.00000  ,  106359480.00000  ,   75667448.00000  ,    8901122.00000
